CD_GEOCMU,lat,long
"4304507",-31.217491,-52.669610
"4304614",-29.327106,-52.233945
"4304655",-28.959583,-54.582126
"4304663",-31.833658,-52.538168
"4304697",-29.283200,-51.984321
"4304705",-28.278222,-52.864055
"4304853",-27.704320,-51.929760
"4304903",-28.594355,-51.967283
"4304952",-28.248467,-51.736971
"4305009",-28.168734,-54.034411
"4305116",-27.775879,-52.003111
"4305124",-31.729711,-52.795990
"4305132",-29.627526,-52.995424
"4305157",-27.628550,-53.163088
"4305173",-30.583947,-51.760246
"4305207",-28.131787,-54.739167
"4305306",-28.096942,-53.115106
"4305355",-29.990745,-51.556498
"4305371",-27.945177,-52.000199
"4305405",-27.986986,-53.909620
"4305439",-33.652769,-53.412861
"4305447",-30.781983,-52.004766
"4305504",-28.346295,-51.917501
"4305587",-29.392817,-51.868307
"4305603",-28.472750,-52.991308
"4305702",-28.165785,-53.493980
"4305801",-27.689132,-52.990181
"4305835",-29.168329,-52.126186
"4305850",-28.132040,-52.758339
"4305871",-28.404373,-54.060204
"4305900",-27.798404,-53.645954
"4305934",-29.262713,-51.720476
"4305959",-28.995125,-51.689362
"4305975",-28.122016,-52.332101
"4306007",-27.487507,-54.136334
"4306056",-31.009088,-52.030257
"4306072",-27.432231,-53.248487
"4306106",-28.703225,-53.562408
"4306130",-27.627340,-52.644018
"4306205",-29.541325,-52.033572
"4306304",-28.416456,-51.812251
"4306320",-27.240341,-53.893403
"4306353",-28.204960,-55.079395
"4306379",-29.813892,-54.163246
"4306429",-27.676583,-53.495668
"4306452",-28.976631,-51.843076
"4306502",-30.604522,-52.201498
"4306601",-31.057239,-54.664859
"4306700",-29.560662,-53.346439
"4306734",-27.487031,-54.366962
"4306759",-29.092499,-51.976581
"4306809",-29.213371,-51.921661
"4306908",-30.630028,-52.672238
"4306924",-27.684773,-52.908728
"4306932",-28.460168,-54.301861
"4306957",-27.519028,-52.726852
"4306973",-27.829326,-52.318188
"4307005",-27.643338,-52.257807
"4307054",-28.420923,-52.554454
"4307104",-32.021433,-53.401473
"4307203",-27.351407,-52.580856
"4307302",-27.513293,-53.519761
"4307450",-27.328222,-54.009138
"4307500",-28.864146,-52.827062
"4307559",-27.928556,-52.289962
"4307807",-29.509300,-51.920001
"4307815",-29.224091,-53.178582
"4307831",-28.565961,-54.244342
"4307864",-28.886579,-51.717487
"4308003",-29.557934,-53.462883
"4308052",-27.375310,-52.676141
"4308078",-29.589125,-51.838538
"4308250",-27.858132,-52.045180
"4308300",-29.008553,-52.377910
"4308409",-29.975980,-53.505978
"4308433",-29.388805,-52.125470
"4308458",-28.895212,-53.275554
"4308508",-27.340383,-53.359820
"4308607",-29.241458,-51.581917
"4308656",-28.233862,-55.538689
"4308706",-27.598678,-52.115586
"4308805",-29.865367,-51.916294
"4308854",-28.386497,-52.039538
"4308904",-27.852579,-52.180307
"4309001",-28.030029,-54.299079
"4309126",-27.445687,-52.914916
"4309159",-29.288987,-52.600682
"4309258",-28.577921,-51.659981
"4309407",-28.855020,-51.904397
"4309506",-28.168035,-54.586530
"4309571",-29.441518,-52.669374
"4309605",-27.590696,-54.298074
"4309654",-31.447878,-53.889480
"4309704",-27.574194,-53.979617
"4309753",-29.418454,-53.166262
"4309803",-28.102316,-51.787164
"4309902",-28.381932,-51.629625
"4309951",-28.625826,-52.442395
"4310009",-28.594931,-53.172279
"4310207",-28.320723,-53.895059
"4310306",-28.931059,-52.131162
"4310363",-29.345822,-51.775378
"4310405",-27.901624,-54.180406
"4310413",-27.902835,-54.030373
"4310462",-27.931274,-52.418235
"4310504",-27.249146,-53.241418
"4310538",-29.576948,-53.762039
"4310553",-28.809998,-55.267325
"4310579",-28.775739,-52.195567
"4310603",-29.213734,-56.175660
"4310702",-27.356192,-52.477537
"4310751",-29.513571,-53.583633
"4310850",-27.629721,-53.264223
"4310876",-29.035346,-53.014127
"4310900",-27.786982,-52.547059
"4311007",-32.410229,-53.335583
"4311106",-29.458658,-54.648952
"4311130",-29.292108,-54.298466
"4311155",-28.766731,-54.154519
"4311205",-29.258398,-53.652299
"4311239",-29.502869,-53.042136
"4311254",-29.238615,-52.787675
"4311270",-28.570941,-52.834152
"4311403",-29.444073,-52.007347
"4311429",-27.703274,-53.206019
"4311502",-30.772118,-54.153655
"4311601",-27.549525,-53.063875
"4311700",-27.587004,-51.674009
"4311718",-29.066190,-55.774962
"4311759",-29.428380,-55.556906
"4311791",-29.548495,-51.550237
"4311809",-28.455368,-52.268854
"4311908",-27.478515,-51.950647
"4311981",-30.314268,-51.584066
"4312005",-27.342506,-52.168518
"4312054",-29.289751,-52.148773
"4312104",-29.538937,-54.468721
"4312138",-28.278306,-52.198287
"4312153",-29.525155,-52.135837
"4312179",-28.243508,-54.656346
"4312203",-27.603881,-51.815452
"4312252",-30.074724,-52.077915
"4312302",-27.490655,-53.746112
"4312351",-28.669896,-52.050087
"4312385",-29.140279,-51.651693
"4312427",-28.693797,-52.661889
"4312450",-31.637149,-52.637748
"4312609",-29.140423,-51.815566
"4312625",-28.326970,-51.776905
"4312658",-28.459417,-52.824913
"4312674",-28.520976,-52.448404
"4312708",-27.369496,-52.857262
"4312757",-28.708021,-52.171368
"4312807",-28.651426,-51.746112
"4312906",-28.726000,-51.754133
"4312955",-27.997061,-52.979490
"4313003",-29.222183,-52.035305
"4313011",-27.595809,-54.124848
"4313037",-29.403339,-54.821541
"4313102",-29.433482,-53.416321
"4313300",-28.760863,-51.608455
"4313334",-28.076412,-53.703545
"4313391",-29.760406,-52.995512
"4313425",-27.544941,-54.536970
"4313441",-27.561814,-53.167122
"4313466",-27.744609,-53.057886
"4313490",-27.899566,-53.115896
"4313607",-27.722126,-51.780298
"4313706",-27.940155,-53.382111
"4313805",-27.327926,-53.587642
