UF,data,pop,novas_mortes,mortes_totais_hoje,casos_totais_hoje,novos_casos,veiculo,novos_casos_100k,novas_mortes_100k,casos_totais_hoje_100k,mortes_totais_hoje_100k
SP,2020-06-16,45919049,365,11132,190285,8825,Folha,19.218603590853984,0.794877089026822,414.3922928369009,24.242662342593377
SP,2020-06-15,45919049,73,10767,181460,3258,Folha,7.095094674107907,0.1589754178053644,395.1736892460469,23.447785253566554
SP,2020-06-14,45919049,113,10694,178202,5327,Folha,11.600850008892824,0.24608523578090652,388.078594571939,23.28880983576119
SP,2020-06-13,45919049,213,10581,172875,4975,Folha,10.834283610708052,0.46385978071976186,376.47774456304614,23.042724599980282
SP,2020-06-12,45919049,223,10368,167900,5380,Folha,11.716270517710416,0.4856372352136474,365.6434609523381,22.57886481926052
SP,2020-06-11,45919049,283,10145,162520,6204,Folha,13.510732768006585,0.6163019621769605,353.9271904346277,22.093227584046872
SP,2020-06-10,45919049,340,9862,156316,6178,Folha,13.454111386322483,0.7404334527921081,340.4164576666211,21.476925621869913
SP,2020-06-09,45919049,334,9522,150138,5545,,12.075598516859529,0.7273669800957768,326.9623462802986,20.736492169077806
SP,2020-06-08,45919049,43,9188,144593,1520,,3.310173083070601,0.09364305432370779,314.8867477634391,20.00912518898203
