id,hora,altura,data,data-invert
118,09:00:00 AM,129,28-11-1982,1982-11-28
119,08:50:00 AM,117,29-11-1982,1982-11-29
120,10:35:00 AM,113,1-12-1982,1982-12-01
121,10:35:00 AM,110,2-12-1982,1982-12-02
122,11:00:00 AM,122,22-12-1983,1983-12-22
123,12:10:00 AM,118,21-05-1984,1984-05-21
124,09:10:00 AM,115,20-11-1984,1984-11-20
125,09:15:00 AM,119,21-11-1984,1984-11-21
126,09:25:00 AM,111,22-11-1984,1984-11-22
127,11:05:00 AM,124,13-11-1985,1985-11-13
128,03:55:00 AM,159,1-02-1986,1986-02-01
129,02:50:00 AM,114,2-02-1986,1986-02-02
130,12:30:00 PM,137,24-11-1987,1987-11-24
131,12:50:00 AM,130,25-11-1987,1987-11-25
132,09:30:00 AM,113,1-11-1990,1990-11-01
133,10:25:00 AM,111,3-11-1990,1990-11-03
134,03:00:00 PM,116,25-11-1990,1990-11-25
135,09:30:00 PM,111,9-12-1990,1990-12-09
136,03:35:00 AM,128,10-12-1990,1990-12-10
137,12:25:00 PM,127,12-10-1991,1991-10-12
138,10:40:00 PM,122,31-03-1992,1992-03-31
139,11:40:00 PM,110,2-04-1992,1992-04-02
140,09:50:00 AM,118,4-10-1992,1992-10-04
141,08:35:00 AM,124,5-10-1992,1992-10-05
142,10:10:00 AM,142,8-12-1992,1992-12-08
143,10:40:00 AM,132,9-12-1992,1992-12-09
144,10:10:00 AM,113,10-12-1992,1992-12-10
145,11:45:00 AM,111,2-10-1993,1993-10-02
146,10:10:00 PM,112,2-10-1993,1993-10-02
147,09:35:00 AM,123,14-10-1993,1993-10-14
148,10:20:00 AM,110,15-10-1993,1993-10-15
149,10:10:00 AM,111,11-01-1994,1994-01-11
150,07:15:00 AM,112,31-12-1995,1995-12-31
151,12:15:00 PM,110,15-10-1996,1996-10-15
152,12:00:00 PM,111,14-11-1996,1996-11-14
153,07:25:00 AM,134,18-11-1996,1996-11-18
154,07:40:00 AM,128,20-11-1996,1996-11-20
155,08:20:00 AM,110,22-11-1996,1996-11-22
156,10:40:00 AM,111,23-11-1996,1996-11-23
157,09:50:00 AM,115,24-11-1996,1996-11-24
158,11:00:00 AM,111,25-12-1996,1996-12-25
159,05:20:00 AM,120,4-01-1997,1997-01-04
160,09:35:00 PM,126,6-05-1997,1997-05-06
161,09:10:00 AM,118,12-11-1997,1997-11-12
162,09:55:00 AM,112,13-11-1997,1997-11-13
163,10:40:00 AM,110,14-11-1997,1997-11-14
164,10:45:00 AM,111,15-11-1997,1997-11-15
165,11:50:00 AM,111,3-12-1997,1997-12-03
166,12:15:00 PM,123,20-12-1997,1997-12-20
167,12:00:00 PM,124,7-10-1998,1998-10-07
168,12:00:00 PM,112,8-10-1998,1998-10-08
169,10:25:00 AM,112,4-11-1998,1998-11-04
170,10:55:00 AM,113,4-12-1998,1998-12-04
171,12:10:00 PM,112,25-10-1999,1999-10-25
172,11:20:00 AM,110,26-10-1999,1999-10-26
173,09:55:00 AM,116,4-11-1999,1999-11-04
174,09:20:00 AM,116,20-11-1999,1999-11-20
175,09:10:00 AM,121,21-11-1999,1999-11-21
176,11:50:00 PM,111,5-04-2000,2000-04-05
177,10:55:00 AM,111,13-10-2000,2000-10-13
178,08:35:00 PM,144,6-11-2000,2000-11-06
179,10:50:00 AM,110,13-12-2000,2000-12-13
180,08:15:00 AM,124,21-11-2000,2000-11-21
181,12:30:00 AM,116,28-12-2000,2000-12-28
182,05:35:00 AM,110,3-01-2001,2001-01-03
183,09:35:00 PM,112,7-01-2001,2001-01-07
184,10:00:00 AM,111,8-01-2001,2001-01-08
185,09:35:00 AM,115,13-11-2001,2001-11-13
186,10:20:00 AM,124,14-11-2001,2001-11-14
187,08:05:00 PM,121,6-06-2002,2002-06-06
188,09:40:00 AM,113,22-10-2002,2002-10-22
189,09:45:00 AM,147,16-11-2002,2002-11-16
190,07:55:00 PM,126,16-11-2002,2002-11-16
191,10:25:00 AM,123,18-11-2002,2002-11-18
192,09:35:00 AM,113,19-11-2002,2002-11-19
193,10:10:00 AM,115,22-11-2002,2002-11-22
194,02:15:00 AM,111,25-11-2002,2002-11-25
195,12:00:00 PM,111,25-11-2002,2002-11-25
196,09:30:00 AM,110,3-12-2002,2002-12-03
197,10:20:00 AM,123,4-12-2002,2002-12-04
198,10:20:00 AM,122,5-12-2002,2002-12-05
199,11:00:00 AM,137,31-10-2004,2004-10-31
200,11:40:00 AM,115,1-11-2004,2004-11-01
201,08:50:00 AM,124,10-11-2004,2004-11-10
202,09:40:00 AM,115,26-12-2004,2004-12-26
203,11:10:00 AM,128,27-12-2004,2004-12-27
204,11:10:00 AM,132,3-12-2005,2005-12-03
205,11:10:00 AM,112,24-10-2006,2006-10-24
206,10:45:00 AM,156,1-12-2008,2008-12-01
207,09:25:00 PM,116,10-12-2008,2008-12-10
208,10:55:00 PM,118,11-12-2008,2008-12-11
209,10:00:00 AM,110,12-12-2008,2008-12-12
210,11:25:00 AM,116,14-12-2008,2008-12-14
211,11:20:00 AM,115,15-12-2008,2008-12-15
212,03:15:00 AM,119,9-02-2009,2009-02-09
213,09:10:00 AM,118,7-02-2009,2009-02-07
214,09:55:00 AM,123,8-02-2009,2009-02-08
215,10:15:00 AM,110,9-02-2009,2009-02-09
216,12:15:00 AM,110,11-02-2009,2009-02-11
217,10:25:00 PM,116,29-03-2009,2009-03-29
218,11:25:00 PM,117,27-04-2009,2009-04-27
219,11:15:00 PM,110,2-11-2009,2009-11-02
220,09:00:00 AM,131,30-11-2009,2009-11-30
221,10:45:00 AM,114,19-12-2009,2009-12-19
222,04:25:00 AM,111,22-12-2009,2009-12-22
223,05:05:00 AM,144,23-12-2009,2009-12-23
224,04:55:00 AM,133,24-12-2009,2009-12-24
225,03:55:00 AM,145,25-12-2009,2009-12-25
226,09:45:00 AM,113,30-12-2009,2009-12-30
227,10:00:00 AM,120,31-12-2009,2009-12-31
228,10:00:00 AM,119,1-01-2010,2010-01-01
229,04:15:00 AM,120,7-01-2010,2010-01-07
230,02:50:00 PM,112,19-02-2010,2010-02-19
231,12:50:00 AM,124,20-02-2010,2010-02-20
232,08:50:00 AM,111,26-02-2010,2010-02-26
233,11:30:00 PM,119,28-02-2010,2010-02-28
234,12:30:00 PM,114,10-11-2010,2010-11-10
235,08:50:00 AM,114,19-11-2010,2010-11-19
236,12:10:00 AM,122,22-11-2010,2010-11-22
237,11:40:00 AM,111,26-11-2010,2010-11-26
238,07:40:00 AM,111,1-12-2010,2010-12-01
239,08:50:00 AM,117,2-12-2010,2010-12-02
240,08:55:00 AM,136,3-12-2010,2010-12-03
241,08:55:00 AM,122,4-12-2010,2010-12-04
242,12:00:00 PM,123,23-12-2010,2010-12-23
243,01:40:00 AM,144,24-12-2010,2010-12-24
244,11:55:00 AM,114,24-12-2010,2010-12-24
245,02:20:00 AM,114,25-12-2010,2010-12-25
246,10:40:00 PM,112,16-02-2011,2011-02-16
247,09:05:00 AM,127,27-10-2012,2012-10-27
248,09:20:00 AM,123,28-10-2012,2012-10-28
249,01:40:00 AM,143,1-11-2012,2012-11-01
250,06:45:00 AM,117,1-11-2012,2012-11-01
251,10:20:00 AM,138,1-11-2012,2012-11-01
252,02:35:00 AM,112,2-11-2012,2012-11-02
253,01:40:00 AM,110,5-11-2012,2012-11-05
254,09:25:00 AM,149,11-11-2012,2012-11-11
255,10:20:00 PM,127,28-11-2012,2012-11-28
256,12:05:00 AM,143,12-02-2013,2013-02-12
257,12:10:00 AM,125,31-03-2013,2013-03-31
258,03:50:00 PM,110,16-05-2013,2013-05-16
259,09:35:00 PM,112,23-05-2013,2013-05-23
260,11:30:00 AM,124,19-11-2013,2013-11-19
261,06:05:00 AM,115,26-12-2013,2013-12-26
262,08:30:00 AM,118,28-01-2014,2014-01-28
263,09:00:00 AM,113,29-01-2014,2014-01-29
264,09:55:00 AM,113,30-01-2014,2014-01-30
265,01:25:00 AM,122,21-01-2014,2014-01-21
266,09:45:00 AM,125,31-01-2014,2014-01-31
267,10:15:00 PM,123,10-02-2014,2014-02-10
268,12:55:00 PM,110,4-03-2014,2014-03-04
269,10:00:00 AM,115,5-11-2014,2014-11-05
270,10:05:00 PM,121,5-11-2014,2014-11-05
271,11:20:00 AM,111,8-11-2014,2014-11-08
272,05:35:00 AM,110,16-11-2014,2014-11-16
273,11:05:00 PM,115,17-11-2014,2014-11-17
274,07:25:00 AM,115,1-12-2014,2014-12-01
275,08:30:00 AM,119,3-12-2014,2014-12-03
276,08:35:00 AM,118,4-12-2014,2014-12-04
277,7.55,113,30-01-2015,2015-01-30
278,9.3,114,1-02-2015,2015-02-01
279,9.55,113,2-02-2015,2015-02-02
280,10.25,115,4-02-2015,2015-02-04
