Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Nepal,-93.22,-92.82,-92.93,-92.97,-92.69,-92.59,-92.66,-92.61,-92.59,-92.61,-92.45,-92.26,-92.2,-91.9,-91.83,-91.9,-91.89,-91.98,-92.07,-92.03,-91.97,-92.06,-92.08,-92,-92.02,-91.9,-92,-91.85,-91.45,-90.81,-90.87,-90.79,-90.51,-90.2,-90.09,-90.31,-90.73,-90.14
Pakistan,-83.44,-82.59,-82.13,-81.94,-81.78,-81.67,-81.58,-81.25,-81.36,-81.65,-81.53,-80.83,-80.6,-80.42,-80.44,-80.48,-80.97,-81.73,-82.03,-82.27,-82.83,-83.18,-83.01,-82.56,-82.18,-81.68,-81.84,-82.11,-82,-81.13,-81.54,-81.59,-81.14,-80.81,-80.69,-80.52,-80.46,-80.55
Belgium,2.58,3.09,2.66,1.38,2.25,1.86,1.52,1.64,2.7,2.6,4.34,5.65,6.22,6.71,8.52,6.07,5.51,6.45,5.15,5.37,5.95,3.98,5.06,4.05,4.54,4.3,3.1,4.33,6.13,4.66,8.82,6.17,8.71,7.37,5.96,4.37,4.92,5.09
Chad,-94.26,-94.86,-94.63,-93.92,-93.88,-93.64,-93.56,-93.61,-93.53,-93.73,-93.81,-93.65,-93.66,-93.92,-93.82,-94.05,-94.21,-94.21,-94.14,-94.51,-94.91,-94.55,-94.31,-93.81,-92.15,-91.95,-92.61,-91.66,-91.77,-90.9,-90.22,-90.06,-89.02,-90.07,-90.2,-90.24,-91.05,-91.87
Vanuatu,-90.57,-90.37,-89.64,-86.03,-85.53,-86.06,-86.74,-88.39,-88.32,-88.18,-88.21,-87.87,-88.35,-87.69,-88.13,-87.89,-88.04,-88.31,-87.98,-88.46,-88.39,-89.08,-88.72,-88.93,-89.22,-89.32,-88.97,-89.07,-87.95,-87.59,-88.17,-88.18,-88.5,-87.73,-87.85,-88.17,-88.21,-88.38
Mozambique,-97.12,-97.07,-97.22,-97.66,-97.63,-97.91,-97.89,-97.8,-97.74,-97.63,-97.63,-97.61,-97.87,-97.77,-97.79,-97.91,-97.43,-97.29,-97.13,-97.07,-97.22,-97.07,-96.93,-96.78,-96.72,-96.58,-96.58,-96.42,-96.21,-95.76,-95.76,-95.53,-95.34,-95.14,-94.94,-94.89,-94.98,-95.17
Tanzania,-89.41,-89.6,-89.83,-90.5,-90.68,-90.72,-91.04,-91.18,-91.42,-91.55,-91.36,-91.12,-91.24,-90.98,-91.13,-91.28,-91.27,-91.58,-91.67,-91.74,-91.88,-91.87,-91.42,-91.31,-91.19,-91.07,-90.94,-90.72,-90.27,-89.53,-89.39,-89,-88.61,-88.06,-87.77,-87.6,-87.42,-87.49
Seychelles,-38.77,-44.27,-47.06,-50.32,-48.29,-44.56,-45.76,-45.43,-44.97,-39.02,-35.33,-35.36,-32.55,-30.81,-34.5,-39.66,-40.86,-33.73,-29.71,-32.04,-36.81,-40.68,-44.84,-49.38,-52.81,-50.35,-47.55,-43.57,-46.35,-45.3,-40.29,-42.28,-35.98,-37.04,-36.4,-34.96,-36.42,-36.85
Burkina Faso,-93.56,-93.1,-93.12,-93.66,-94.03,-93.77,-93.53,-93.84,-93.85,-94.05,-94.31,-93.93,-94.09,-93.97,-94.19,-94.17,-93.79,-93.76,-93.7,-93.69,-93.79,-93.65,-93.58,-93.34,-93.45,-93.19,-93.21,-93.22,-92.98,-92.67,-92.43,-92.22,-91.91,-91.81,-91.94,-92.03,-91.94,-91.76
Morocco,-77.03,-78.5,-76.94,-78.21,-78.36,-78.4,-77.3,-79.09,-78.39,-79.13,-78.89,-77.99,-79.56,-80.21,-78.72,-81.24,-79.59,-81.15,-80.5,-81.37,-82.11,-81.34,-81.19,-80.63,-80.57,-80.6,-80.08,-80.28,-79.3,-77.02,-77.08,-76.56,-76.39,-75.45,-75.55,-75,-75.04,-75.26
Ghana,-84.85,-85.54,-87,-88.21,-87.81,-87.83,-87.81,-87.87,-88.02,-88.09,-88.2,-87.94,-87.89,-87.57,-87.79,-87.95,-87.99,-88.01,-88.23,-88.33,-88.6,-88.51,-88.4,-88.27,-88.31,-88.06,-88.18,-88.32,-87.23,-86.78,-86.4,-84.92,-83.77,-82.94,-83.08,-83.1,-83.33,-83.17
Sudan,-85.63,-85.1,-84.87,-85.78,-87.31,-87.89,-87.21,-87.12,-87.28,-87.99,-88.14,-87.63,-87.37,-87.3,-87.4,-87.26,-87.62,-87.38,-87.27,-87.32,-88.08,-87.07,-85.91,-85.55,-85.48,-85.84,-86.4,-85.55,-84.63,-85.01,-84.06,-84,-83.96,-84.33,-83.86,-84.05,-84.09,-84.54
Palestine,-80.67,-82.28,-81.28,-82.88,-82.91,-84.01,-81.79,-83.36,-84.83,-85.55,-83.53,-85.08,-82.19,-80.99,-79.27,-75.3,-77.17,-75.55,-72.77,-72.45,-78.7,-82.28,-85.35,-83.51,-82.9,-81.33,-83,-82.49,-81.86,-80.57,-80.31,-78.71,-77.85,-77.88,-78.61,-78.62,-79.21,-79.71
Rwanda,-92.74,-92.46,-92.53,-92.36,-93.04,-93.11,-93.2,-93.61,-94.02,-94.38,-94.25,-94.36,-93.75,-94.01,-97.04,-96.08,-95.7,-95.47,-95.49,-95.6,-95.59,-95.46,-95.02,-95.13,-95.04,-94.81,-94.69,-94.58,-94.12,-93.67,-93.56,-93.32,-92.85,-92.75,-92.54,-92.25,-92.12,-91.92
Lithuania,-31.9,-31.09,-31.27,-32.17,-33.59,-35.28,-36.98,-38.7,-41.12,-42.84,-43.24,-46.78,-59.73,-66.87,-71.41,-71.38,-69.26,-66.67,-64.6,-65.96,-64.92,-62.55,-59.46,-55.75,-53.38,-49.68,-47.2,-42.52,-39.65,-43.77,-45.74,-42.99,-38.75,-35.45,-32.24,-33.54,-32.55,-31.21
Benin,-90.74,-90.32,-89.62,-90.74,-90.41,-89.92,-90.07,-90.65,-90.97,-91.53,-91.05,-90.91,-90.89,-90.58,-90.94,-90.57,-90.69,-90.71,-90.85,-90.87,-90.93,-90.82,-90.75,-90.87,-90.97,-91.18,-91.37,-91.25,-90.89,-90.55,-90.87,-90.92,-90.72,-90.34,-90.13,-90.1,-90.06,-90.14
Cuba,-47.97,-37.43,-33.32,-32.11,-29.42,-31.68,-34.65,-39.31,-40.28,-42.54,-45.76,-52.69,-59.22,-65.87,-66.52,-66.69,-64.79,-65.06,-66.32,-65.25,-64.39,-63.92,-63.84,-63.15,-62.21,-58.61,-55.07,-52.94,-50.93,-48.26,-48.54,-47.92,-45.93,-44.58,-45.04,-43.4,-45.14,-47.5
Guyana,-75.22,-74.93,-78.56,-80.55,-81.66,-81.38,-82.06,-82.37,-83.83,-85.25,-86.05,-85.34,-84,-82.83,-81.7,-81.39,-79.59,-78.82,-79.87,-79.77,-80.71,-81.69,-81.32,-81.61,-80.9,-81.44,-81.51,-80.01,-79.15,-77.47,-76.82,-76.36,-74.82,-73.9,-73.72,-74.05,-74.28,-74.96
Hungary,-41.38,-38.11,-36.86,-37.86,-38.76,-41.05,-42.53,-41.2,-42.18,-42.94,-46.03,-53.22,-55.26,-55.46,-54.78,-54.15,-56.18,-55.69,-55.19,-55.83,-54.67,-52.93,-48.59,-46.05,-45.37,-44.41,-44.41,-47.32,-46.92,-48.46,-50.52,-51.01,-51.78,-48.39,-45.28,-43.18,-41.04,-41.63
Guinea,-91.08,-91.01,-91,-91.16,-91.4,-91.35,-91.45,-91.48,-91.49,-91.68,-91.7,-91.84,-92.03,-91.9,-92.1,-92.23,-92.27,-92.28,-92.26,-92.2,-92.37,-92.33,-91.94,-92.18,-92.27,-92.15,-92.55,-92.35,-92.11,-92.25,-92.17,-91.97,-91.62,-91.83,-91.7,-91.66,-91.53,-91.48
Swaziland,-67.97,-65.39,-65.99,-66.61,-67.05,-67.74,-65.52,-65.69,-65.02,-66.17,-62.36,-62.39,-61.84,-61.19,-63.2,-60.71,-59.72,-60.82,-63.42,-63.13,-66.24,-65.82,-66.78,-68.37,-67.72,-66.15,-67.97,-67.57,-68,-67.11,-68.27,-67.59,-66.32,-64.85,-65.23,-65.01,-66.39,-68.45
Tunisia,-68.6,-67.79,-69.4,-69.48,-69.36,-69.7,-72.04,-72.22,-73.83,-74.44,-73.54,-73.6,-72.24,-72.42,-73.14,-74,-73.79,-73.87,-73.89,-73.5,-73.87,-73.01,-73.32,-72.59,-72.24,-72.37,-72.08,-71.55,-70.58,-68.75,-69.03,-70.71,-69.32,-68.91,-68.55,-68.82,-69.25,-69.88
Somalia,-97.17,-97.05,-97,-97.39,-97.36,-97.18,-97.33,-97.16,-97.32,-97.44,-97.53,-97.56,-97.87,-97.84,-98.34,-98.39,-98.38,-98.5,-98.54,-98.57,-98.61,-98.61,-98.59,-98.59,-98.61,-98.62,-98.66,-98.68,-98.66,-98.59,-98.62,-98.64,-98.62,-98.63,-98.65,-98.68,-98.71,-98.76
Latvia,-43.88,-42.64,-42.18,-42.29,-42.79,-43.44,-44,-44.4,-45.27,-45.35,-44.13,-48.78,-67.43,-71.2,-70.38,-79.51,-78.14,-75.86,-74.65,-74.48,-72.49,-69.72,-66.94,-64.23,-62.29,-57.74,-55.43,-51.08,-51.68,-52.08,-58.18,-55.54,-53.26,-50.67,-49.09,-47.41,-46.14,-45.48
Senegal,-87.42,-87.74,-85.93,-86.17,-87.52,-87.44,-87.33,-87.39,-87.58,-88.46,-88.32,-88.65,-88.72,-89.22,-89.56,-89.62,-89.44,-89.83,-89.84,-89.32,-90.08,-89.91,-90.22,-89.95,-89.9,-89.71,-90.05,-89.97,-89.7,-89.36,-89.44,-89.85,-89.62,-89.61,-89.66,-89.45,-89.28,-89.07
Guinea-Bissau,-91.03,-91.01,-90.72,-91.23,-91.02,-91,-91.61,-91.43,-91.37,-91.44,-91.31,-91.37,-91.21,-91.1,-91.15,-91.23,-91.3,-91.13,-93.02,-92.35,-92.74,-92.65,-92.88,-93.11,-93.28,-93.24,-93.47,-93.53,-93.45,-93.09,-93.02,-92.86,-93.22,-93.02,-93.18,-93.19,-93.14,-92.71
Zimbabwe,-89.21,-88.14,-88.44,-88.89,-89.71,-89.64,-90.09,-90.55,-90.56,-90.65,-90.49,-90.2,-91.27,-91.15,-91.01,-91.42,-90.9,-91.2,-91.54,-92.21,-93.22,-93.36,-93.86,-94.47,-94.86,-95.2,-95.6,-95.91,-96.18,-93.42,-92.79,-91.92,-90.89,-90.75,-90.9,-91.16,-91.51,-91.35
Burundi,-93.75,-93.1,-93.31,-93.33,-93.63,-93.17,-93.22,-93.29,-93.34,-93.53,-93.49,-93.13,-93.06,-93.48,-93.78,-94.37,-95,-95.11,-95.01,-95.24,-95.52,-95.64,-95.62,-95.93,-96.05,-96.23,-96.26,-96.34,-96.28,-96.15,-96.18,-96.19,-96.07,-95.98,-96.01,-96.2,-96.31,-96.12
Costa Rica,-51.03,-55.98,-61.73,-61.14,-59.32,-60.77,-60.44,-60.73,-62.43,-62.37,-61.66,-61.71,-59.4,-57.22,-56.81,-57.39,-58.79,-59.14,-59.31,-64.22,-61.84,-61.88,-61.64,-61.37,-61.53,-61.32,-60.32,-58.46,-56.46,-56.39,-56,-55.47,-53.35,-53.33,-53.26,-52.68,-52.63,-53.61
Malawi,-92.31,-93.15,-93.07,-93.03,-93.15,-93.26,-93.63,-94.14,-94.54,-94.72,-94.76,-94.41,-94.92,-94.25,-95.07,-94.76,-94.39,-94.44,-94.68,-94.86,-95.06,-95.47,-95.46,-95.41,-95.39,-95.42,-95.48,-95.26,-95.03,-94.49,-94.47,-94.57,-94.52,-94.62,-94.53,-94.66,-94.71,-94.92
Gambia,-89.77,-87.8,-87.33,-88.4,-88.2,-88.43,-88.88,-89.65,-89.85,-90.26,-90.45,-90.36,-90.2,-89.93,-90.31,-90.74,-90.71,-91.22,-91.4,-91.31,-91.36,-91.2,-91.47,-92,-91.72,-92.22,-92.64,-92.78,-92.28,-91.33,-91.2,-92.28,-91.92,-91.68,-91.99,-92.03,-92.41,-92.61
Papua New Guinea,-82.6,-82.7,-82.92,-83.02,-84.05,-84.26,-84.29,-84.59,-85.33,-86.36,-87.33,-86.53,-85.37,-82.84,-82.81,-84.71,-84.12,-85.56,-85.61,-86.19,-87.17,-87.85,-88,-88.48,-88.81,-88.83,-89.54,-88.94,-88.7,-87.63,-86.62,-86.46,-86.12,-85.84,-85.18,-84.81,-84.98,-85.46
Solomon Islands,-88.97,-87.26,-88.1,-89.44,-89.16,-89.15,-89.85,-90.26,-90.35,-90.31,-89.74,-89.98,-89.21,-89.24,-88.99,-88.67,-89.08,-89.99,-90.26,-91.11,-92.7,-93.47,-94,-93.77,-93.53,-92.97,-93.36,-92.71,-92.86,-92.62,-91.94,-91.89,-91.56,-90.95,-91.44,-91.78,-91.86,-91.84
Philippines,-70.11,-69.58,-69.8,-70.39,-74.54,-77.57,-77.9,-77.83,-77.68,-77.53,-77.46,-78.05,-78.24,-78.18,-78,-77.7,-77.72,-77.38,-78.74,-80.52,-80.43,-80.69,-80.6,-80.3,-80.46,-80.28,-80.34,-79.76,-79.25,-78.47,-77.91,-77.64,-76.52,-75.31,-74.78,-74.17,-73.39,-73.04
Zambia,-79.53,-79.56,-80.05,-80.69,-81.72,-84.5,-85.16,-85.16,-86.12,-85.9,-86.1,-88.1,-88.62,-87.88,-89.48,-89.67,-89.49,-87.64,-88.49,-88.33,-88.69,-88.32,-88.11,-87.61,-87.8,-87.38,-86.96,-86.39,-85.62,-84.13,-83.23,-83.09,-82.21,-81.93,-82.02,-82.55,-82.34,-82.53
Slovenia,-26.98,-25.9,-25.82,-26.45,-27.61,-29.03,-30.38,-31.72,-33.87,-35.35,-35.55,-42.44,-46.34,-43.94,-40.68,-39.82,-39.9,-39.06,-39.46,-37.99,-38.84,-37.88,-35.98,-35.23,-34.88,-33.39,-32.08,-29.03,-26.66,-30.45,-31.38,-31.61,-34.43,-35.14,-33.05,-34.05,-32.53,-30.39
Bolivia,-72.99,-73.37,-75.38,-76.9,-78.11,-78.82,-79.87,-79.88,-80.3,-80.47,-80.14,-79.46,-79.46,-78.88,-78.71,-78.74,-78.69,-78.69,-78.6,-79.72,-80.42,-80.78,-80.78,-81.19,-81.47,-81.22,-81.23,-81.17,-80.07,-79.09,-79.36,-78.89,-78.54,-77.58,-76.94,-76.24,-75.77,-76.41
France,1.91,3.07,4.09,2.81,1.6,0.93,1.15,0.9,1.08,1.38,2.04,1.31,1.96,1.54,1.11,0.52,0.48,0.25,0.8,1.84,1.65,1.26,0.3,-0.47,-0.41,-0.59,-1.68,-1.53,-1.34,-0.99,-0.96,-0.09,-0.31,0.27,-0.28,-0.76,-2,-1.84
Niger,-90.55,-90.49,-90.46,-91.29,-93.15,-92.89,-93.22,-93.62,-93.69,-94.06,-94.42,-94.44,-94.64,-94.64,-94.79,-94.94,-95.03,-95.35,-95.03,-95.29,-95.72,-95.56,-95.49,-95.53,-95.8,-95.67,-95.66,-95.73,-95.37,-95.41,-95.28,-95.38,-94.99,-94.92,-94.75,-94.81,-94.82,-94.91
Central African Republic,-92.11,-92.04,-92.17,-93,-92.78,-92.83,-92.84,-93.48,-93.68,-93.77,-94.05,-94.07,-94.33,-94.45,-94.47,-94.46,-95.12,-95.06,-95.07,-95.01,-95.18,-95.27,-95.39,-95.86,-95.91,-95.94,-95.92,-95.87,-95.77,-95.53,-95.5,-95.42,-95.18,-96.97,-96.94,-96.81,-96.75,-96.76
Kenya,-82.56,-82.28,-82.21,-82.87,-83.52,-83.84,-83.49,-83.45,-83.72,-83.95,-84.2,-84.61,-85.29,-85.49,-85.83,-86.04,-86.08,-86.89,-87.16,-87.65,-88.43,-88.33,-88.72,-88.89,-88.99,-88.74,-88.63,-88.39,-88.51,-87.94,-87.64,-87.34,-86.97,-87.44,-87.55,-87.39,-87.16,-87.36
Germany,15.44,15.59,13.87,14.49,15.85,15.71,15.03,12.8,12.46,11.85,13.99,7.73,8.32,6.89,6.42,5.31,4.22,2.94,1.7,0.68,0.22,0.14,-0.87,-2.39,-1.49,-2.03,-0.11,1.24,2.41,1.92,4.21,7.82,9.1,9.57,9.59,9.69,9.76,10.15
Fiji,-67.37,-65.53,-68.05,-70.12,-68.42,-70.47,-69.41,-72.49,-73.41,-70.93,-69.05,-70.68,-70.21,-69.99,-69.89,-70.05,-69.33,-71.49,-72.92,-70.73,-71.56,-72.64,-72.12,-72.88,-72.69,-74.01,-74.89,-75.33,-74.97,-73.86,-74.67,-74.63,-74.25,-72.87,-72.73,-72.13,-72.86,-72.91
Kiribati,-86.26,-86.48,-84.82,-86.75,-86.22,-87.37,-88.14,-89.09,-87.92,-89.68,-90.17,-89.19,-89.27,-89.23,-89.39,-89.78,-89.77,-89.95,-89.65,-90.41,-89.71,-90.55,-90.77,-90.71,-91.32,-91.17,-91.6,-91.82,-92.23,-91.76,-92.24,-92.35,-92.04,-91.7,-92.09,-91.74,-91.67,-91.86
Sierra Leone,-88.99,-88.63,-88.54,-88.79,-88.73,-88.63,-87.43,-89.9,-89.34,-89.84,-90.24,-90.3,-91.25,-90.96,-91.05,-91.91,-93.97,-95.19,-95.45,-95.95,-96.02,-95.51,-94.52,-94.43,-94.69,-94.67,-94.73,-94.7,-94.38,-93.99,-94.01,-94.23,-93.41,-92.27,-92.12,-94.09,-93.93,-94.69
Congo,-73.85,-66.95,-60.26,-60.84,-58.61,-63.36,-68.41,-69.28,-71.61,-72.93,-74.28,-73.51,-73.1,-74.32,-77.73,-82.8,-83.34,-81.22,-79.85,-83.29,-83.56,-83.36,-82.63,-81.93,-83.19,-83.95,-83.14,-83.49,-81.7,-78.47,-77.6,-78.45,-76.86,-76.38,-75.57,-75.79,-77.23,-79.55
Togo,-86.71,-87.62,-88.68,-89.83,-89.69,-89.8,-89.86,-90.6,-90.22,-90.29,-90.01,-90.19,-90.74,-92.27,-91.85,-91.56,-91.34,-91.59,-92.31,-92.66,-93.21,-93.43,-93.34,-93.15,-93.61,-94.17,-94.34,-94.63,-94.45,-94.04,-93.99,-93.43,-93.5,-93.25,-93.11,-92.84,-92.81,-92.83
Colombia,-55.55,-55.49,-56.95,-58.46,-59.48,-60.59,-60.47,-60.59,-61.42,-62.79,-62.68,-62.88,-62.31,-60.22,-59.41,-59.79,-62.18,-63.31,-66.06,-68.62,-68.87,-70.02,-70.16,-70.31,-69.75,-69.32,-68.29,-67.52,-66.57,-65.36,-64.97,-63.96,-62.53,-61.12,-60.37,-59.8,-60.31,-61.78
Liberia,-89.55,-90.1,-90.21,-90.95,-91.35,-91.82,-92.08,-91.98,-91.87,-91.61,-95.94,-96.4,-97.63,-98.38,-98.77,-98.88,-98.84,-97.81,-97.44,-97.18,-96.69,-96.75,-96.71,-97.8,-97.82,-97.77,-97.6,-96.86,-96.71,-96.46,-96.39,-96.09,-96.25,-96.17,-95.81,-95.61,-95.83,-95.97
Samoa,-69.42,-72.66,-73.57,-74.26,-74.83,-74.73,-74.47,-75.46,-77.12,-77.26,-78.63,-79.44,-79.87,-79.03,-80.3,-79.61,-78.69,-79.29,-79.63,-79.74,-78.95,-77.83,-77.49,-76.69,-77.88,-77.09,-77.7,-76.35,-76.54,-76.72,-76.28,-75.76,-76.23,-76.88,-76.47,-76.12,-75.6,-76.07
Mauritania,-77.39,-77.11,-79.57,-80.1,-81.15,-82.47,-82.36,-82.14,-82.95,-82.73,-83.55,-83.33,-83.45,-83.13,-82.41,-83.78,-82.85,-84.58,-85.05,-84.93,-86,-86.31,-86.73,-86.57,-86.62,-86.05,-84.25,-84.58,-84.76,-84.76,-84.86,-84.85,-83.65,-83.16,-83.42,-83.52,-84.19,-84.07
Micronesia,-80.68,-79.82,-80.83,-81.59,-82.36,-80.85,-80.65,-81.14,-81.56,-82.36,-82.28,-81.94,-81.65,-80.85,-81.17,-81.36,-82.72,-84.07,-84.18,-84.32,-84.26,-84.23,-84.17,-84.29,-84.96,-84.93,-85.51,-86.05,-86.07,-85.11,-85.05,-85.01,-85.39,-86.03,-87.35,-87.21,-87.22,-87.6
Angola,-63.98,-66.19,-67.26,-67.25,-66.88,-67.49,-68.06,-67.19,-68.29,-69.87,-70.85,-71.36,-73.19,-80.88,-81.3,-80.86,-80.53,-78.22,-79.04,-81.19,-81.22,-81.31,-78.6,-78.92,-78.27,-76.24,-75.42,-73.2,-72.25,-72.22,-72.52,-72.87,-71.16,-70.77,-70.93,-72.26,-69.86,-71.2
Belize,-68.91,-69.04,-70.16,-72.15,-73.02,-73.77,-72.8,-71.69,-71.05,-69,-66.58,-66.61,-65.66,-63.76,-64.21,-64.28,-65.82,-66.8,-68.23,-68.45,-70.44,-70.97,-70.35,-69.69,-70.87,-71.07,-71.63,-73.49,-73.6,-71.59,-73.47,-72.54,-72.21,-72.76,-73.2,-72.64,-74.37,-76.48
Canada,14.18,15.97,8.3,9.5,12.5,13.81,11.54,12.75,12.03,8.7,5.12,1.72,0.6,3.87,5.12,4.69,3.48,4,3.05,4.91,7.41,5.73,7.71,8.15,8.6,9.72,8.32,7.29,7.49,5.78,6.25,7.86,9.6,11.32,11.16,8.49,7.19,6.59
DR Congo,-88.11,-87.9,-88.23,-88.45,-88.27,-88.76,-88.71,-88.92,-89.53,-90.22,-91.24,-92.23,-93.3,-94.35,-94.83,-95.05,-95.27,-95.75,-96.01,-96.36,-96.79,-96.97,-96.97,-96.91,-96.87,-96.81,-96.83,-96.77,-96.63,-96.63,-96.63,-96.49,-96.29,-96.31,-95.82,-95.78,-95.85,-95.96
Macedonia,-60.72,-60.1,-60.04,-60.38,-61,-61.75,-62.49,-63.22,-64.39,-65.2,-65.32,-66.49,-69.56,-69.35,-70.41,-71.4,-71.58,-72.17,-72.32,-72.28,-73.25,-74.57,-74.84,-75.24,-74.77,-74.23,-73.04,-74.32,-71.19,-69.71,-69.84,-69.22,-69.51,-68.3,-67.43,-67.36,-67.46,-68.86
Afghanistan,-83.21,-82.53,-81.65,-80.5,-79.65,-79.12,-78.77,-80.41,-82.79,-84.74,-85.79,-87.78,-88.71,-91.49,-94.38,-92.4,-92.89,-93.57,-94.16,-94.78,-95.33,-95.85,-94.19,-93.43,-93.73,-93.59,-93.42,-92.72,-92.58,-91.3,-91.18,-90.97,-90.22,-89.91,-90.1,-90.71,-91.02,-91.38
Argentina,-34.5,-39.95,-43.43,-42.36,-42.76,-48.83,-45.41,-45.57,-49.26,-57.26,-56.63,-51.87,-46.85,-43.9,-42.73,-47.25,-46.25,-44.11,-44.5,-48.85,-51.47,-55.06,-63.05,-59.73,-57.41,-53.71,-52.69,-50.63,-46.88,-48.67,-43.35,-38.65,-38.2,-35.47,-38.95,-38.65,-42.16,-42.9
Comoros,-78.95,-78.47,-77.59,-77.44,-77.47,-78.12,-78.61,-79.15,-79.93,-81.15,-81.83,-82,-80.76,-80.53,-82.56,-82.74,-83.82,-84.02,-84.71,-85.24,-85.79,-86.01,-86.13,-86.52,-87.01,-87.18,-87.54,-88.01,-87.81,-87.03,-87.22,-87.09,-86.94,-85.98,-86.08,-86.71,-86.99,-87.39
Honduras,-74.93,-74.51,-75.96,-76.75,-76.94,-77.12,-78.24,-78.11,-78.54,-78.83,-80.35,-80.45,-80.1,-78.79,-80.3,-80.5,-80.81,-80.86,-81.39,-82.69,-82.95,-83.33,-83.37,-83.43,-83.57,-83.27,-83.31,-83.02,-82.85,-82.82,-83.12,-83.12,-82.71,-82.83,-83.09,-83.16,-83.57,-83.78
Cameroon,-75.68,-74.2,-72.96,-71.93,-70.96,-72.46,-74.05,-76.69,-79.06,-80.58,-82.61,-83.45,-84.86,-85.32,-85.48,-85.71,-85.97,-86.24,-85.81,-86.5,-86.53,-86.19,-86.05,-85.95,-85.74,-86.22,-86.29,-86.3,-85.92,-85.48,-85.61,-85.61,-85.29,-84.95,-84.72,-84.44,-84.51,-85.01
Saint Lucia,-62.54,-62.21,-62.69,-62.04,-61.63,-60.55,-56.71,-58.56,-56.55,-55.95,-58.25,-59.5,-57.1,-58.03,-58.86,-60.42,-58.35,-60.62,-59.96,-60.64,-62.91,-65.87,-66.03,-65.97,-65.3,-67.28,-65.3,-67.44,-66.72,-64.69,-66.28,-66.06,-67.3,-67.86,-70.17,-70.63,-71.63,-71.98
El Salvador,-64.87,-68.6,-71.09,-71.69,-71.69,-71.98,-73.3,-73.55,-74.68,-75.58,-75.91,-75.56,-74.26,-72.68,-72.09,-71.45,-72.13,-72.35,-72.39,-72.68,-73.19,-73.38,-73.15,-73.26,-73.74,-73.32,-73.2,-72.78,-72.22,-72.5,-72.98,-73.03,-72.9,-72.91,-73.34,-73.54,-73.92,-74.39
Sao Tome and Principe,-77.28,-79.94,-79.96,-81.42,-83.09,-82.15,-84.09,-84.71,-85.07,-85.16,-85.88,-85.9,-86.09,-86.02,-86.23,-86.56,-87.02,-88.34,-88.93,-89.17,-89.44,-89.47,-89.54,-88.98,-89.13,-88.71,-87.72,-87.8,-87.45,-86.94,-86.7,-86.69,-86.55,-86.06,-85.4,-85.68,-86.19,-86.95
Peru,-54.52,-52.1,-53.57,-61.64,-61.93,-62.77,-60.33,-57.42,-64.66,-70.99,-73.9,-73.22,-74.2,-73.53,-71.28,-70.67,-70.83,-70.36,-71.74,-72.7,-73.54,-74.14,-73.41,-73.46,-73.99,-73.63,-73.61,-72.22,-69.54,-68.51,-67.52,-66.31,-64.46,-63.02,-63.4,-63.55,-63.4,-64.28
Netherlands,32.19,28.83,23.64,22.49,21.86,17.81,17.18,15.13,12.85,13.69,13.17,13.82,12.18,13.79,14.38,14.35,16.43,17.43,17.13,21.56,22.95,19.89,18.89,19.32,19.41,17.8,21.86,23.57,22.49,24.64,24.23,26.39,26.07,24.5,21.17,21.63,21.04,21.76
Haiti,-82.6,-83.22,-83.95,-84.26,-84.76,-85.28,-85.88,-86.42,-86.98,-87.79,-87.9,-88.13,-88.99,-89.94,-90.88,-90.53,-90.4,-90.61,-90.88,-91.1,-91.54,-91.91,-92.12,-92.47,-92.97,-93.12,-93.24,-93.32,-93.3,-93.06,-93.56,-93.43,-93.25,-93.16,-93.22,-93.38,-93.52,-93.76
Madagascar,-81.15,-83.31,-84.06,-84.64,-85.32,-85.75,-86.02,-86.76,-87.22,-87.4,-87.22,-88.49,-88.59,-88.48,-89.12,-89.51,-89.71,-89.79,-89.94,-89.95,-90.13,-89.99,-91.73,-91.21,-91.28,-91.18,-91.34,-91.08,-90.72,-91,-91.42,-91.63,-91.71,-91.85,-91.97,-92.16,-92.26,-92.44
Djibouti,-76.77,-76.83,-77.27,-77.97,-79.08,-80.56,-82.46,-83.98,-85.42,-87.06,-86.95,-87.73,-87.26,-86.72,-87.51,-87.22,-88.54,-88.82,-89.59,-89.99,-90.48,-90.67,-90.68,-90.72,-90.87,-91,-90.38,-90.39,-90,-89.43,-89.66,-89.6,-89.23,-88.97,-88.85,-88.54,-88.43,-88.29
Cote d’Ivoire,-70.96,-70.63,-71.7,-74.16,-76.29,-76.69,-77.23,-78.57,-79.82,-78.79,-80.06,-80.75,-81.59,-82.11,-82.73,-82.56,-82.22,-82.26,-82.39,-83.01,-84.29,-84.75,-85.29,-85.86,-86.23,-86.41,-86.77,-86.94,-86.64,-85.86,-86.15,-87.23,-86.02,-84.97,-84.24,-83.59,-82.91,-82.57
Yemen,-80.87,-79.93,-80.2,-79.87,-80.08,-81.31,-81.9,-82.17,-82.69,-83.26,-80.92,-82.05,-82.32,-82.41,-83.3,-81.68,-78.98,-79.29,-80.2,-80.32,-79.53,-79.32,-79.05,-78.84,-79.51,-79.28,-79.04,-79.29,-79.36,-77.67,-78.11,-82.85,-82.55,-82.51,-85.15,-89.7,-91.11,-92.78
