Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Turkey,-50.82,-48.99,-48.75,-48.32,-47.23,-47.51,-46.43,-43.71,-46.45,-49.15,-45.88,-47.1,-45.41,-41.53,-48.26,-46.73,-45.47,-44.07,-45.21,-50.31,-49.53,-55.34,-53.13,-52.11,-49.49,-46.38,-45.28,-44.37,-44.58,-46.69,-43.34,-38.3,-35.71,-31.2,-30.24,-28.77,-29.34,-27.86
Bosnia and Herzegovina,-91.55,-91.43,-91.42,-91.5,-91.64,-91.8,-91.96,-92.12,-92.38,-92.57,-92.63,-93.28,-93.63,-93.58,-92.85,-91.44,-86.68,-82.18,-80,-79.03,-76.1,-76.37,-75.83,-75.72,-75.31,-75.04,-74.9,-74.32,-72.33,-71.76,-72.62,-72.66,-72.33,-71.16,-71.19,-70.55,-70.22,-70.31
Sri Lanka,-83.15,-82.55,-82,-81.87,-81.58,-81.38,-81.41,-81.93,-82.58,-83.09,-82.54,-82.06,-81.67,-80.39,-80.03,-79.68,-79.8,-79.29,-79.2,-79.27,-79,-79.63,-79.07,-78.24,-78.03,-77.26,-76.52,-75.4,-74.12,-71.64,-70.61,-68.77,-65.88,-65.19,-64.64,-63.35,-62.53,-62.76
Indonesia,-87.44,-85.9,-86.66,-85.88,-85.91,-86.14,-86.88,-86.18,-85.62,-84.64,-83.89,-83.01,-82.71,-81.77,-81.31,-80.72,-80,-78.96,-81.04,-83.6,-82.46,-81.73,-82.24,-81.92,-81.67,-80.5,-80.13,-78.59,-75.79,-73.1,-71.7,-70.26,-68.75,-68.18,-68,-68.22,-67.55,-67.39
Bhutan,-92.18,-91.33,-91.33,-90.92,-90.76,-90.72,-89.94,-87.41,-87.56,-87.34,-86.27,-86.17,-85.52,-84.82,-83.98,-83.13,-82.63,-82.6,-82.68,-82.51,-82.28,-81.81,-80.75,-80.62,-80.92,-80.82,-80.93,-78.58,-78.77,-77.07,-76.22,-75.64,-74.99,-75.73,-74.77,-74.65,-73.82,-73.12
Chile,-57.11,-55.16,-64.18,-66.68,-66.49,-67.89,-66.97,-65.48,-65.12,-62.95,-62.7,-60.71,-56.46,-53.79,-53.99,-50.78,-49.02,-47.72,-47.89,-51.24,-51.56,-51.32,-51.51,-51.9,-51.4,-49.7,-50.64,-49.11,-46.39,-45.15,-44.03,-41.16,-37.02,-34.92,-34.87,-34.79,-35.6,-38.2
United Kingdom,-13.04,-13.71,-11.99,-9.71,-9.8,-8.41,-9.04,-6.54,-5.35,-6.2,-7.4,-9.44,-8.56,-4.81,-3.57,-2.86,-2.14,-1.73,-0.67,0.37,-0.45,0.36,2.61,5.62,5.24,6.43,5.23,4.32,5.76,6.14,4.7,4.56,5.02,5.96,6.46,5.62,4.99,4.75
Cyprus,-30.05,-28.19,-24.65,-23.73,-19.35,-18.55,-18.69,-15.71,-12.94,-9.78,-5.69,-8.16,-2.13,-3.71,-2.83,-1.79,-3.67,-5.97,5.25,-3.73,-4.78,-2.91,0.45,1.52,0.9,1.15,0.53,4.31,5.86,6.09,-0.66,-0.63,-7.85,-15.75,-17.01,-12.2,-13.01,-12.62
Thailand,-77.4,-76.67,-76.23,-75.78,-75.76,-76.11,-76.36,-75.48,-74.07,-72.48,-71.08,-69.54,-67.61,-65.19,-64.07,-63.05,-63.1,-67.06,-72.47,-71.91,-71.91,-72.31,-70.74,-69.19,-68.23,-67.92,-67.28,-66.13,-65.97,-64.87,-63.34,-63.1,-61.47,-61.68,-61.65,-61.35,-60.17,-60.15
Egypt,-74.81,-73.98,-71.4,-68.7,-67.3,-67.79,-67.5,-66.68,-66.68,-66.99,-66.71,-65.64,-65.44,-63.77,-63.75,-63.49,-62.97,-62.91,-63.15,-63.11,-63.28,-63.34,-63.68,-63.96,-64.46,-63.83,-63.19,-62.15,-60.77,-58.77,-59.88,-60.24,-59.59,-59.5,-58.85,-57.82,-57.39,-57.65
Maldives,-78.76,-76.84,-78.76,-77.18,-72.42,-70.45,-70.06,-68.5,-66.5,-65.73,-61.38,-59.67,-58.68,-57.01,-56.24,-55.13,-54.24,-53.37,-52.64,-52.73,-54.09,-59.55,-58.77,-55.71,-56.47,-65.74,-59.09,-64.76,-61.6,-64.75,-64.92,-63.61,-64.23,-62.94,-62.33,-63.69,-63.07,-61.99
USA,31.31,34.3,30.06,31.05,37.58,37.3,35.86,37.2,38.06,35.94,34.5,31.74,34.07,36.93,38.81,38.86,41.17,42.59,44.08,44.7,45.32,43.15,42.83,43.32,44.35,46.12,45.82,42.02,40.76,41.58,42.17,43.36,48.89,49.59,51.11,51.08,49.18,47.21
Poland,-52.34,-58.19,-60.04,-57.7,-55.95,-55.47,-54.66,-55.32,-54.9,-55.88,-62.49,-64.89,-64.54,-62.56,-60.86,-58.91,-57.14,-56,-55.72,-55.29,-54.94,-55.49,-55.26,-54.88,-55.38,-54.21,-53.34,-51.55,-48.25,-45.35,-45.14,-43,-41.62,-40.99,-40.21,-38.73,-38.47,-37.2
Panama,-45.09,-40.96,-39.97,-42.12,-44.81,-44.37,-45.9,-46.88,-57.97,-59.92,-57.55,-55.57,-52.73,-50.6,-51.68,-54.17,-53.94,-53.89,-57.04,-58.48,-59.15,-60.49,-59.27,-60.67,-59.98,-58.49,-57.46,-52.73,-48.63,-45.69,-46.64,-40.31,-36.06,-32.83,-32.97,-31.6,-30.99,-30.41
Lao PDR,-91.29,-89.94,-89.46,-89.35,-89.06,-88.99,-88.96,-89.66,-90.57,-89.76,-89.48,-89.33,-89.05,-88.58,-88.26,-88.01,-87.75,-87.64,-88.01,-87.74,-87.44,-87.43,-86.81,-86.41,-86.16,-85.84,-86.73,-84.78,-83.86,-82.37,-81.99,-81.25,-80.07,-78.97,-78.2,-77.54,-77.03,-76.66
Dominican Republic,-63.61,-62.62,-63,-62.95,-63.91,-67.23,-67.65,-66.47,-67.95,-67.78,-70.59,-71.1,-68.96,-68.36,-68.56,-68.49,-67.33,-66.35,-65.68,-64.96,-64.79,-65.71,-64.52,-66.58,-68.16,-65.15,-63.01,-61.24,-59.72,-58.15,-56.41,-56.42,-55.53,-54.6,-52.65,-50.47,-49.02,-49.15
Iceland,13.54,17.39,17.11,9.47,9.83,10.05,14.12,21.87,14.86,9.03,9.02,8.36,3.31,4.88,5.32,1.04,3.88,5.11,8.19,9.17,8.91,9,12.03,10.32,11.81,16.6,12.66,20.66,-6.22,-9.54,-12.53,-5.86,0.01,16.58,17.24,22.31,31.26,27.81
Bulgaria,-65.13,-62.23,-61.37,-60.39,-59.68,-59.69,-59.24,-57.94,-54.58,-57.71,-62.61,-64.41,-67.27,-67.3,-66.05,-65.59,-69.35,-69.66,-70.64,-73.04,-72.99,-71.35,-69.1,-68.28,-66.92,-65.32,-64.85,-64.75,-59.81,-59.26,-59.59,-59.11,-57.35,-57.17,-57.13,-56.37,-55.27,-52.26
Denmark,6.26,4.47,6.82,8.83,10.68,12.41,16.64,13.41,7.39,4.22,3.93,4.08,6.71,7.47,10.48,10.14,11.64,11.9,11.02,11.31,11.06,10.95,11.77,11.62,14.1,17.86,19.64,16.79,17.96,16.84,18.72,18.05,19.48,22,23.33,22.36,20.97,18.49
